1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
-0.003635,0.001572,-0.000266,0.000323,0.000027,0.000157,-0.000024,-0.000177,0.026674,0.023560,0.023332,0.014107,0.019482,0.010662,0.005408,0.011337
-0.001212,-0.001235,0.000496,0.000342,0.000204,0.000135,0.000050,0.000562,0.028247,0.019152,0.019554,0.016174,0.019505,0.017776,0.006317,0.010931
-0.002315,-0.000482,0.000493,-0.000180,-0.000038,0.000254,0.000022,-0.000189,0.027135,0.025684,0.022762,0.016705,0.017949,0.018407,0.005214,0.010278
-0.000090,-0.000239,0.000050,-0.000641,-0.000275,-0.000399,-0.000005,-0.000177,0.029791,0.021035,0.018052,0.016147,0.019028,0.015751,0.005519,0.009939
0.003816,-0.000731,-0.000598,-0.000063,0.000026,0.000053,0.000008,-0.000073,0.029622,0.018595,0.022264,0.017982,0.019566,0.018667,0.005666,0.009959
0.000958,0.000724,0.000203,0.000336,0.000011,-0.000025,0.000020,0.000604,0.027113,0.015707,0.022358,0.016243,0.018996,0.014017,0.007463,0.010410
-0.005498,-0.000829,0.000028,0.000176,0.000161,0.000008,-0.000001,-0.000043,0.034047,0.023402,0.022429,0.016925,0.018231,0.014577,0.006798,0.010609
0.001917,-0.000308,-0.000125,-0.000170,-0.000240,-0.000087,-0.000001,0.000299,0.030051,0.024055,0.023799,0.017738,0.019063,0.016255,0.006606,0.010276
-0.002604,0.000254,0.000065,-0.000090,0.000121,0.000319,0.000039,0.000092,0.028172,0.025274,0.018471,0.017839,0.012820,0.018378,0.005643,0.009668
0.004340,-0.000140,-0.000625,0.000016,0.000026,0.000185,-0.000012,-0.000159,0.036329,0.020882,0.019997,0.016096,0.013776,0.012979,0.005221,0.011013
0.002875,0.000729,-0.000061,0.000105,-0.000050,-0.000019,-0.000017,-0.000232,0.028840,0.020095,0.018760,0.017145,0.016473,0.016428,0.005690,0.009117
-0.001863,0.001225,-0.000560,-0.000236,-0.000101,-0.000230,0.000014,0.000085,0.026560,0.024434,0.016069,0.016136,0.018707,0.017031,0.005056,0.011220
-0.004593,-0.000593,0.000016,-0.000050,-0.000259,-0.000062,-0.000007,-0.000201,0.033207,0.019071,0.018810,0.018183,0.017777,0.016659,0.005835,0.010535
-0.000922,0.000801,0.000102,0.000294,0.000161,0.000180,0.000013,-0.000177,0.033729,0.025770,0.023202,0.013625,0.017745,0.010144,0.005416,0.009467
0.005172,-0.000314,-0.000085,-0.000086,0.000167,0.000044,0.000038,-0.000195,0.032641,0.019511,0.026034,0.019412,0.018467,0.013049,0.005094,0.010147
0.005317,-0.000216,-0.000342,-0.000409,0.000013,0.000009,-0.000027,-0.000092,0.030243,0.021917,0.021233,0.017785,0.013734,0.012614,0.007588,0.008491
0.000307,-0.000419,0.000900,-0.000133,0.000096,-0.000091,0.000015,0.000421,0.030944,0.019410,0.026311,0.017717,0.018300,0.017576,0.005236,0.011630
-0.002405,0.001556,-0.000341,0.000199,-0.000064,-0.000204,-0.000018,0.000037,0.029349,0.026944,0.023976,0.012460,0.019234,0.017601,0.007067,0.006766
-0.003129,-0.000640,0.000205,-0.000117,-0.000067,-0.000522,-0.000022,0.000085,0.033865,0.025082,0.017282,0.016987,0.019708,0.017216,0.006634,0.010409
-0.001863,0.000078,0.000344,0.000151,0.000200,-0.000149,0.000027,0.000024,0.029312,0.020303,0.018423,0.018850,0.019934,0.017134,0.006126,0.009959
-0.003961,0.002443,-0.000387,0.000199,0.000072,-0.000047,-0.000003,-0.000366,0.033272,0.024758,0.016677,0.018507,0.015173,0.017761,0.006357,0.010366
